ml;lt,lt,lts,litro,litros,l,mililitros
atado;atada,atado,atados
tajada;tajadas
bandeja;banja
bola;bolas,bolitas
bolsa;bolsa,bolsas
botella;botella
cabeza;cabeza
caja;caja
cascara;carcara,cascara
cc;cc
cucharada;cda,cdas,cuchara,cucharada,cucharadas
cucharadita;cdta,cdtas,cucharadita,cucharaditas
chica;chica,chicas,chico,chicos
chorro;chorrito
tarro;tarrito,tarro,tarros
cubo;cubitos
diente;diente,dientes
escalopa;escalopas
palo;palo,palito,palos
filete;filete,filetes,bistec
frasco;frasco
gota;gotas
g;gr,grs,gramos,g,kg,kilo,kilos
ramo;ramo
grande;grande,grandes
hebras;hebras
hoja;hoja,hojas
lamina;lamina,laminas
lata;lata,latas
trozo;trozos,trozo
lonja;lonjas
medallon;medallones
mediana;mediana,medianas,mediano,medianos
mezcla; mezcla
paquete;paquete,paquetes,pqte
pedazo;pedazo,pedazos
pequeño;pequenaa,pequeno
pizca;pica,pizca
pote;pocillo,pote,potes
porcion;porciones
presa;presas
puerro;puerro
puñado;punado
rama;rama,ramas,ramitas,ramita
rebanada;rebanada,rebanadas
rodaja;rodajas
sobre;sobre,sobres
taza;taza,taza ,tazas
unidad;unidad,unidades,unidas,x
vara;vara,varas
vaso;vaso,vasos
