6,filetes,reineta
1 ½,cucharadita,sal
1,cucharadita,Pimienta Negra
1,cucharadita,Orégano
1,diente,ajo
¼,cucharadita,mostaza
3,cucharadas,aceite
2,cucharadas,vinagre vino
1,cucharada,Alcaparras
1,cucharadita,mostaza
1,x,limon
1,diente,ajo
1,cucharada,ciboulette
1,cucharada,menta
2,cucharadas,perejil
2,cucharadas,albahaca
½,taza,almendras
½,taza,queso parmesano
½,taza,aceite oliva
1,kilo,papas
¾,taza,leche
4,cucharadas,mantequilla
1,cucharadita,Merquén
½,cucharadita,Pimienta Blanca
½,cucharadita,sal
