6,filete,reineta
1 1/2,cucharadita,sal
1,cucharadita,pimienta negra
1,cucharadita,oregano
1,diente,ajo
1/4,cucharadita,mostaza
3,cucharada,aceite vegetal
2,cucharada,vinagre de vino
1,cucharada,alcaparras
1,cucharadita,mostaza
1,unidad,limon
1,diente,ajo
1,cucharada,ciboulette
1,cucharada,menta
2,cucharada,perejil
2,cucharada,albahaca
1/2,taza,almedras
1/2,taza,queso parmesano
1/2,taza,aceite de oliva
1000,g,papa
3/4,taza,leche
4,cucharada,mantequilla
1,cucharadita,merquen
1/2,cucharadita,pimienta
1/2,cucharadita,sal
