1,unidad,pechuga de pavo
1,grande,cebolla
3,unidad,zanahoria
2,hoja,laurel
1,cucharadita,pimienta negra
1/4,taza,vinagre de vino blanco
3,cucharada,jugo de limon
1 1/2,cucharadita,vinagre balsamico
1/2,taza,aceite de oliva
1,unidad,ralladura de limon
1/3,taza,pasas
1,cucharadita,salsa inglesa
2,cucharada,alcaparra
1,cucharadita,perejil
1,cucharadita,ciboulette
1/2,taza,almendras
1200,g,papa
1,cucharada,mantequilla
1,cucharada,cebolla en polvo
2,unidad,huevo
250,g,queso ricotta
1,taza,crema acida
1/2,taza,queso parmesano
1,cucharadita,ajo en polvo
1,cucharadita,tomillo
2,cucharada,pan rallado
