1,unidad,cebolla
1,cucharada,aceite de oliva
2,unidad,tomate
1/2,cucharadita,comino
1/2,cucharadita,ajo
1/2,cucharadita,merken
1,cucharadita,sal
1/2,cucharadita,pimienta negra
1/2,cucharadita,aji color
2,taza,agua
1/2,taza,salsa de tomate
2,cucharadita,maicena
2,taza,pechuga de pollo
1,taza,porotos negros
1,taza,choclo
3,cucharada,crema acida
2,cucharada,queso crema
2,unidad,cebollin
1,taza,queso cheddar
x,unidad,sal
x,unidad,pimienta negra
x,unidad,oregano
12,unidad,tortilla de maiz
1,cucharada,cilantro
