6,filete,reineta
1 1/2,cucharadita,sal
1,cucharadita,pimienta negra
1,cucharadita,oregano
1,diente,ajo
1/4,cucharadita,mostaza
3,cucharada,aceite
2,cucharada,vinagre
1,cucharada,alcaparra
1,cucharadita,mostaza
1,unidad,limon
1,diente,ajo
1,cucharada,ciboulette
1,cucharada,menta
2,cucharada,perejil
2,cucharada,albahaca
1/2,taza,almendras
1/2,taza,queso parmesano
1/2,taza,aceite de oliva
1000,g,papa
3/4,taza,leche
4,cucharada,mantequilla
1,cucharadita,merken
1/2,cucharadita,pimienta negra
1/2,cucharadita,sal
